Character	Middle Chinese (Baxter and Sagart)	Beijing	Harbin	Tianjin	Jinan	Qingdao	Zhengzhou	Xian	Xining	Yinchuan	Lanzhou	Urumqi	Wuhan	Chengdu	Guiyang	Kunming	Nanjing	Hefei	Taiyuan	Pingyao	Hohhot	Shanghai	Suzhou	Hangzhou	Wenzhou	Shexian	Tunxi	Changsha	Xiangtan	Nanchang	Meixian	Taoyuan	Guangzhou	Nanning	Hong Kong	Xiamen	Fuzhou	Jianou	Shantou	Haikou
丁	teŋ/¹	tiŋ55	tiŋ44	tiŋ21	tiŋ213	tiŋ213	tiŋ24	tiŋ21	tiə̃44	tiŋ44	tĩn31	tiŋ44	tin55	tin55	tin55	tĩ44	tin31	tin21	tiəŋ11	tiŋ13	tĩŋ31	tiŋ53	tin55	tin33	teŋ33	tiʌ̃31	tɛ11	tin33	tin33	tiɑŋ42	ten44	ten24	teŋ53	teŋ55	tiŋ55	tiŋ55	tiŋ44	taiŋ54	teŋ33	ʔdeŋ23
七	tsʰit/⁴	t͡ɕʰi55	t͡ɕʰi44	t͡ɕʰi21	t͡ɕʰi213	t͡sʰi55	t͡sʰi24	t͡ɕʰi21	t͡ɕʰji44	t͡ɕʰi13	t͡ɕʰi13	t͡ɕʰi213	t͡ɕʰi213	t͡ɕʰi31	t͡ɕʰi21	t͡ɕʰi31	t͡sʰiʔ5	t͡ɕʰiəʔ5	t͡ɕʰiəʔ2	t͡ɕʰiʌʔ13	t͡ɕʰiəʔ43	t͡ɕʰiɪʔ5	t͡sʰiəʔ5	t͡ɕʰiəʔ5	t͡sʰai213	t͡sʰiʔ21	t͡sʰi5	t͡sʰi24	t͡sʰi24	t͡ɕʰiʔ5	t͡sʰit1	t͡sʰit22	t͡sʰɐt5	t͡sʰɐt55	t͡sʰɐt5	t͡sʰit32	t͡sʰɛiʔ23	t͡sʰi24	t͡sʰik2	sit5
下	ɣæ/³	ɕia51	ɕia53	ɕiɑ53	ɕia21	ɕia42	ɕia312	xa44～頭	xa213	ɕia13	xa13	xa213	ɕia35	ɕia13	xa213|ɕia213	ɕia̠212	ɕiɑ44	ɕia53	xa45	xɑ35	ɕiaʔ0	ɦo13|ɕia53	ɦo31	ɦiɑ13	ɦo35	ɕia22|xa35	xɔ24	xa11	ɦɒ21	hɑ21	ha44	hɑ24	ha22	ha24	ha22	ha22|ke22	ɑ242	tai21	e35	ɛ33
世	ɕej/³	ʂʐ̩51	ʂʐ̩53	ʂʐ̩53	ʂʐ̩21	ʃz̩42	ʂʐ̩312	ʂʐ̩44	ʂʐ̩213	ʂʐ̩13	ʂʐ̩13	ʂʐ̩213	sz̩35	sz̩13	sz̩213	ʂʐ̩212	ʂʐ̩44	ʂʐ̩53	sz̩45	ʂʐ̩35	sz̩55	sz̩35	sz̩ʷ513	sz̩445	sei42	ɕi324	ɕie42|ɕi11	ʂʐ̩55	ʂʐ̩55	sz̩45	sz̩53	ʃï55	sɐi35	sɐi33	sɐi33	se21|si21|sua21	siɛ212	si33	si213	ti35
業	ŋjæp/⁴	iɛ51	iɛ53	ie53	iə21	iə42	iɛ24	niɛ21	ȵi44	ie13	ȵiə13	iɤ213	ie213	ȵie31	nie21	niɛ31	ieʔ5	iɐʔ5	iəʔ2	ȵiʌʔ53	iaʔ43	ȵiɪʔ1	ȵiəʔ3	ȵiəʔ2	ȵi213	ne22	ȵia11	ȵie24	ȵie24	ȵiɛʔ5	ŋiap5	ŋiɑp55	jip2	nip22	jip2	giap5	ŋieʔ5	ŋiɛ42	ŋiap5	ŋiap5|ŋiap3
嚴	ŋjæm/¹	ian35	ian24	ian45	iã42	iã42	ian42	iã24	iã24	ian53	iɛ̃n53	ian51	iɛn213	ȵian31	nian21|ian21新	iɛ̃31	ien24	iĩ55	ie11	ȵie̞13	ie31	ȵi13	ȵiɪ13	ȵiẽ̞213	ȵi31	ne44	ȵiɛ11	ȵiẽ13	ȵiẽ12	ȵiɛn45	ŋiam11	ŋiɑm11	jim21	jim21	jim21	giam35	ŋieŋ53	ŋiŋ21	ŋiam55	ŋiam31
中	ʈjuŋʷ/¹	ʈ͡ʂuŋ55	ʈ͡ʂuŋ44	t͡suŋ21	ʈ͡ʂuŋ213	ʈ͡ʂəŋ213	ʈ͡ʂuŋ24	p͡fəŋ21	ʈ͡ʂuə̃44	ʈ͡ʂuŋ44	p͡fə̃n31	ʈ͡ʂuŋ44	t͡soŋ55	t͡soŋ55	t͡soŋ55	ʈ͡ʂoŋ44	ʈ͡ʂoŋ31	ʈ͡ʂəŋ21	t͡suəŋ11	t͡suŋ13	t͡sũŋ31	t͡soŋ53	t͡soŋ55	t͡soŋ33	t͡ɕoŋ33	t͡sʌ̃31	t͡san11	ʈ͡ʂoŋ33	ʈ͡ʂən33	t͡suŋ42	tuŋ44～心|t͡suŋ44～間	tuŋ24	t͡soŋ53	t͡suŋ55	t͡suŋ55	tiɔŋ55	tyŋ44	tœyŋ54|tœyŋ33～奬	toŋ33|taŋ33	toŋ23
丸	ɣwan/¹	uan35	uan24	van45	vã42	vã42	uan42	uã24	uã24	van53	vɛ̃n53	van51	uan213藥～子|yɛn213肉～子	uan31	uan21	uã̠31	uaŋ24	ʊ̃55	væ̃11	uɑŋ13	væ̃31	ɦuø13	ɦuø13	ɦuõ213	jy31	uɛ44	uːən44	yẽ13	yẽ12	yɵn45	ian11	ʒen11	jyn35	yn21	jyn35	uan35	uoŋ53	yiŋ33	ĩ55	zuaŋ31
義	ŋje/³	i51	i53	i53	i21	i42	i312	i44	ji213	i13	i13	i213	i35	ȵi13	ni213老|i213新	i212	i44	zz̩53	i45	ȵi35	i55	ȵi13	ɦi31	ȵi13	ȵi22	ni22	ȵi11	ȵi55	ȵi55	ȵi21	ŋi53	ŋi55	ji22	ji22	ji22	gi22	ŋiɛ242	ŋi44	ŋĩ35	ŋi35|ŋi33
乃	noj/²	nai214	nai213	nai13	nɛ55	nɛ55	nai53	nai53	nɛ53	nɛ13	lɛ442	nai51	nai42	nai53	nai42	næ53	lae212	le̞24	nai53	næ53	nɛ53	na13	ne̞51	ne̞53	na35	na35		lai41	nai42	lai213	nai44	nɑi24	nai23	nai24	nai23	nai53	nai32	nai21	nãi53	nai213
烏	ʔu/¹	u55	u44	u21	u213	vu213	u24	u21	v̩44	vu44	vu31	vu44	u55	u55	u55	u44	u31	u21	vu11	u13	vu31	u53	əu55	ʔu33	v̠u33	u31	u11	u33	u33	u42	vu44	vu24	wu53	wu55	wu55	ɔ55	u44	u54	ou33	u23|ɔu23
尹	jwin/²	in214	in213	in13	iẽ55	iə̃55	in53	iẽ53	iə̃53	iŋ53	ĩn442	iŋ51	yn42	yn53	in42	ĩ53	in212	in24	iəŋ53	iŋ53	ĩŋ53	iŋ53|ɦiŋ13	ɦin31	ʔin33	j̠oŋ35	iʌ̃35		yn41	yn42	in213	iun44	ʒuŋ31	wɐn23	wɐn35	wɐn13	in53|un53	yŋ32	œyŋ21	ɯŋ53	zin31
乎	ɣu/¹	xu55	xu44	xu21	xu42	xu213	xu24	xu21	xv̩44	xu44	xu31	xu44	xu55	xu31|fu31	fu55	xu44	xu31	xu21	xu11	xu13	xu31	hu53|ɦu13	ɦəu13	ɦu213	vu31	xu31	xu11	fu13	ɸu33	fu45	fu11	fu11	fu21	fu55|wu21	fu21	hɔ35|hɔ55	hu44	xu54	hu33	hu23
乘	ʑiŋ/³	ʈ͡ʂʰəŋ35	ʈ͡ʂʰəŋ24～法|ʈ͡ʂʰəŋ53～車	ʈ͡ʂʰəŋ45|t͡sʰəŋ45	ʈ͡ʂʰəŋ42	tʃʰəŋ42	ʈ͡ʂʰəŋ42	ʈ͡ʂʰəŋ24	ʈ͡ʂʰə̃24	ʈ͡ʂʰəŋ53	ʈ͡ʂʰə̃n53	ʈ͡ʂʰɤŋ213	t͡sʰən213	sən31|t͡sʰən31	t͡sʰen21	ʈ͡ʂʰə̃31	ʈ͡ʂʰən24	ʈ͡ʂʰən55	t͡sʰəŋ11	ʈ͡ʂʰəŋ13	t͡sʰə̃ŋ31	zəŋ13	zən13	d͡zen213	zeŋ31	t͡ɕʰiʌ̃44	t͡ɕʰiɛ44|t͡ɕʰian44	ʂən13	ʂən12	sɨn45	sən11	ʃen55	seŋ21	seŋ21	siŋ21	siŋ35	siŋ53	t͡sʰeiŋ21	seŋ55	seŋ31
乞	kʰjɨt/⁴	t͡ɕʰi214	t͡ɕʰi213	t͡ɕʰi13	t͡ɕʰi42	t͡ɕʰi55	t͡ɕʰi24	t͡ɕʰi21	t͡ɕʰji213	t͡ɕʰi53	t͡ɕʰi53	t͡ɕʰi213	t͡ɕʰi213	t͡ɕʰi31	t͡ɕʰi21	t͡ɕʰi31	t͡ɕʰiʔ5	t͡ɕʰiəʔ5	t͡ɕʰiəʔ2	t͡ɕʰiʌʔ13	t͡ɕʰiəʔ43	t͡ɕʰiɪʔ5	t͡ɕʰiəʔ5	t͡ɕʰiəʔ5	t͡ɕʰai213	t͡ɕʰiʔ21	kʰo5|t͡ɕʰi5	t͡ɕʰi24	t͡ɕʰi24	t͡ɕʰiʔ5		kʰit22	hɐt5	hɐt55	hɐt5	kʰit32	kʰøyʔ23	kʰi24	kʰɯk2|kʰiʔ2	xit5
習	zip/⁴	ɕi35	ɕi24	ɕi45	ɕi42	si42	si42	ɕi24	ɕji24	ɕi13	ɕi13	ɕi213	ɕi213	ɕi31	ɕi21	ɕi31	siʔ5	ɕiəʔ5	ɕiəʔ54	ɕiʌʔ53	ɕiəʔ43	ʑiɪʔ1	ziəʔ3	d͡ʑiəʔ2	zai213	t͡sʰi22	t͡sʰe11	si24	si24	ɕiʔ5	sip5	sip55	t͡sap2	t͡sɐp22	t͡sap2	sip5	siʔ5	si24	sip5	t͡sip3
買	mɛ/²	mai214	mai213	mai13	mɛ55	mɛ55	mai53	mai53	mɛ53	mɛ53	mɛ442	mai51	mai42	mai53	mai42	mæ53	mae212	me̞24	mai53	mæ53	mɛ53	ma13	mɑ31	me̞53	ma35	ma35	ma24	mai41	mai42	mai213	mai44	mɑi24	mai23	mai24	mai13	mai53|bue53	mɛ32	mai21	boi53	mai213～办|vɔi213
亂	lwan/³	luan51	lan53|luan53	lan53|luan53	luã21	luã42	luan312	luã44	luã213	luan13	luɛ̃n13	luan213	nan35	nuan13	luan213	luã̠212	luaŋ44	lʊ̃53	luæ̃45	luɑŋ35	luæ̃55|læ̃55	lø13	lø31	luõ13	lø22	lo22	luːə11	lõ55|lõ11	nɔn21	lɵn21	lon53	lon55	lyn22	lyn22	lyn22	luan22	luɑŋ242	luiŋ44	luaŋ35	luaŋ35|lui23
爭	ʈʂɛŋ/¹	ʈ͡ʂəŋ55	ʈ͡ʂəŋ44	t͡səŋ21	ʈ͡ʂəŋ213	ʈ͡ʂəŋ213	ʈ͡ʂəŋ24	t͡səŋ21	t͡sə̃44	t͡səŋ44	ʈ͡ʂə̃n31	t͡sɤŋ44	t͡sən55	t͡sən55	t͡sen55	t͡sə44̃	t͡sən31	t͡sən21	t͡səŋ11	t͡səŋ13|ʈ͡ʂʐ̩13～氣	t͡sə̃ŋ31	t͡səŋ53	t͡sən55	t͡sen33	t͡siɛ33|d͡ziɛ31|d͡ziɛ22	t͡sʌ̃31|t͡sɛ31	t͡ɕiɛ11	t͡sən33	t͡sɔn33	t͡sɑŋ42	t͡sen44鬥～|t͡saŋ44～食	t͡sɑŋ24	t͡sɐŋ53|t͡saŋ53	t͡saŋ55	t͡sɐŋ55	t͡siŋ55|t͡sĩ55	t͡saŋ44	t͡saiŋ54	t͡sẽ33	t͡seŋ23|t͡sɛ23
事	ɖʐi/³	ʂʐ̩51	ʂʐ̩53	sz̩53	ʂʐ̩21	ʂʐ̩42	ʂʐ̩312	sz̩44	sz̩213	ʂʐ̩13	ʂʐ̩13	sz̩213	sz̩35	sz̩13	sz̩213	sz̩212	sz̩44	sz̩53	sz̩45	sz̩35	sz̩55	zz̩13	zz̩31	zz̩13	zz̩22	sz̩22	sz̩11	sz̩55|sz̩11	sz̩21	sz̩21	sz̩53	sï55	si22	sz̩22	si22	su22	søy242	su44|si33名|ti44	sɯ31	si33
虧	kʰɥe/¹	kʰuei55	kʰuei44	kʰuei21	kʰuei213	kʰue213	kʰuei24	kʰuei21	kʰuɨ44	kʰuei44	kʰuei31	kʰuei44	kʰuei55	kʰuei55	kʰuei55	kʰuei44	kʰuəi31	kʰue21	kʰuei11	kʰuei13	kʰuei31	t͡ɕʰy53|kʰue53	kʰue̞55|t͡ɕʰy55	kʰui33	kʰai33	kʰue31	t͡ɕʰye11|kʰue11	kʰuei33	kʰuəi33	kʰui42	kʰui44	kʰui24	kʰwɐi53	kʰʷɐi55	kʰwɐi55	kʰui55	kʰuoi44	kʰy54	kʰui33	xui23
雲	ɣjun/¹	yn35	yn24	yn45	yẽ42	yə̃42	yn42	yẽ24	yə̃24	yŋ53	ỹn53	yŋ51	yn213	yn31	in21	ĩ31	yn24	yn55	yəŋ11	yŋ13	ỹŋ31	ɦyŋ13|ɦioŋ13	ɦyən13	ɦyn213	joŋ31	yʌ̃44	yan44	yn13	yn12	yn45	iun11	ʒuŋ11	wɐn21	wɐn21	wɐn21	un35|hun35	huŋ53	œyŋ21	huŋ55	zun31|hun31
