Character	Middle Chinese (Baxter and Sagart 2014)	Beijing	Harbin	Tianjin	Jinan	Qingdao	Zhengzhou	Xian	Xining	Yinchuan	Lanzhou	Urumqi	Wuhan	Chengdu	Guiyang	Kunming	Nanjing	Hefei	Taiyuan	Pingyao	Hohhot	Shanghai	Suzhou	Hangzhou	Wenzhou	Shexian	Tunxi	Changsha	Xiangtan	Nanchang	Meixian	Taoyuan	Guangzhou	Nanning	Hong Kong	Xiamen	Fuzhou	Jianou	Shantou	Haikou
丁	teŋ¹	tiŋ˥˥	tiŋ˦˦	tiŋ˨˩	tiŋ˨˩˧	tiŋ˨˩˧	tiŋ˨˦	tiŋ˨˩	tiə̃˦˦	tiŋ˦˦	tĩn˧˩	tiŋ˦˦	tin˥˥	tin˥˥	tin˥˥	tĩ˦˦	tin˧˩	tin˨˩	tiəŋ˩˩	tiŋ˩˧	tĩŋ˧˩	tiŋ˥˧	tin˥˥	tin˧˧	teŋ˧˧	tiʌ̃˧˩	tɛ˩˩	tin˧˧	tin˧˧	tiɑŋ˦˨	ten˦˦	ten˨˦	teŋ˥˧	teŋ˥˥	tiŋ˥˥	tiŋ˥˥	tiŋ˦˦	taiŋ˥˦	teŋ˧˧	ʔdeŋ˨˧
七	tsʰit⁴	t͡ɕʰi˥˥	t͡ɕʰi˦˦	t͡ɕʰi˨˩	t͡ɕʰi˨˩˧	t͡sʰi˥˥	t͡sʰi˨˦	t͡ɕʰi˨˩	t͡ɕʰji˦˦	t͡ɕʰi˩˧	t͡ɕʰi˩˧	t͡ɕʰi˨˩˧	t͡ɕʰi˨˩˧	t͡ɕʰi˧˩	t͡ɕʰi˨˩	t͡ɕʰi˧˩	t͡sʰiʔ˥	t͡ɕʰiəʔ˥	t͡ɕʰiəʔ˨	t͡ɕʰiʌʔ˩˧	t͡ɕʰiəʔ˦˧	t͡ɕʰiɪʔ˥	t͡sʰiəʔ˥	t͡ɕʰiəʔ˥	t͡sʰai˨˩˧	t͡sʰiʔ˨˩	t͡sʰi˥	t͡sʰi˨˦	t͡sʰi˨˦	t͡ɕʰiʔ˥	t͡sʰit˩	t͡sʰit˨˨	t͡sʰɐt˥	t͡sʰɐt˥˥	t͡sʰɐt˥	t͡sʰit˧˨	t͡sʰɛiʔ˨˧	t͡sʰi˨˦	t͡sʰik˨	sit˥
下	ɣæ³	ɕia˥˩	ɕia˥˧	ɕiɑ˥˧	ɕia˨˩	ɕia˦˨	ɕia˧˩˨	xa˦˦～頭	xa˨˩˧	ɕia˩˧	xa˩˧	xa˨˩˧	ɕia˧˥	ɕia˩˧	xa˨˩˧|ɕia˨˩˧	ɕia̠˨˩˨	ɕiɑ˦˦	ɕia˥˧	xa˦˥	xɑ˧˥	ɕiaʔ0	ɦo˩˧|ɕia˥˧	ɦo˧˩	ɦiɑ˩˧	ɦo˧˥	ɕia˨˨|xa˧˥	xɔ˨˦	xa˩˩	ɦɒ˨˩	hɑ˨˩	ha˦˦	hɑ˨˦	ha˨˨	ha˨˦	ha˨˨	ha˨˨|ke˨˨	ɑ˨˦˨	tai˨˩	e˧˥	ɛ˧˧
世	ɕej³	ʂʐ̩˥˩	ʂʐ̩˥˧	ʂʐ̩˥˧	ʂʐ̩˨˩	ʃz̩˦˨	ʂʐ̩˧˩˨	ʂʐ̩˦˦	ʂʐ̩˨˩˧	ʂʐ̩˩˧	ʂʐ̩˩˧	ʂʐ̩˨˩˧	sz̩˧˥	sz̩˩˧	sz̩˨˩˧	ʂʐ̩˨˩˨	ʂʐ̩˦˦	ʂʐ̩˥˧	sz̩˦˥	ʂʐ̩˧˥	sz̩˥˥	sz̩˧˥	sz̩ʷ˥˩˧	sz̩˦˦˥	sei˦˨	ɕi˧˨˦	ɕie˦˨|ɕi˩˩	ʂʐ̩˥˥	ʂʐ̩˥˥	sz̩˦˥	sz̩˥˧	ʃï˥˥	sɐi˧˥	sɐi˧˧	sɐi˧˧	se˨˩|si˨˩|sua˨˩	siɛ˨˩˨	si˧˧	si˨˩˧	ti˧˥
業	ŋjæp⁴	iɛ˥˩	iɛ˥˧	ie˥˧	iə˨˩	iə˦˨	iɛ˨˦	niɛ˨˩	ȵi˦˦	ie˩˧	ȵiə˩˧	iɤ˨˩˧	ie˨˩˧	ȵie˧˩	nie˨˩	niɛ˧˩	ieʔ˥	iɐʔ˥	iəʔ˨	ȵiʌʔ˥˧	iaʔ˦˧	ȵiɪʔ˩	ȵiəʔ˧	ȵiəʔ˨	ȵi˨˩˧	ne˨˨	ȵia˩˩	ȵie˨˦	ȵie˨˦	ȵiɛʔ˥	ŋiap˥	ŋiɑp˥˥	jip˨	nip˨˨	jip˨	giap˥	ŋieʔ˥	ŋiɛ˦˨	ŋiap˥	ŋiap˥|ŋiap˧
嚴	ŋjæm¹	ian˧˥	ian˨˦	ian˦˥	iã˦˨	iã˦˨	ian˦˨	iã˨˦	iã˨˦	ian˥˧	iɛ̃n˥˧	ian˥˩	iɛn˨˩˧	ȵian˧˩	nian˨˩|ian˨˩新	iɛ̃˧˩	ien˨˦	iĩ˥˥	ie˩˩	ȵie̞˩˧	ie˧˩	ȵi˩˧	ȵiɪ˩˧	ȵiẽ̞˨˩˧	ȵi˧˩	ne˦˦	ȵiɛ˩˩	ȵiẽ˩˧	ȵiẽ˩˨	ȵiɛn˦˥	ŋiam˩˩	ŋiɑm˩˩	jim˨˩	jim˨˩	jim˨˩	giam˧˥	ŋieŋ˥˧	ŋiŋ˨˩	ŋiam˥˥	ŋiam˧˩
中	ʈjuŋʷ¹	ʈ͡ʂuŋ˥˥	ʈ͡ʂuŋ˦˦	t͡suŋ˨˩	ʈ͡ʂuŋ˨˩˧	ʈ͡ʂəŋ˨˩˧	ʈ͡ʂuŋ˨˦	p͡fəŋ˨˩	ʈ͡ʂuə̃˦˦	ʈ͡ʂuŋ˦˦	p͡fə̃n˧˩	ʈ͡ʂuŋ˦˦	t͡soŋ˥˥	t͡soŋ˥˥	t͡soŋ˥˥	ʈ͡ʂoŋ˦˦	ʈ͡ʂoŋ˧˩	ʈ͡ʂəŋ˨˩	t͡suəŋ˩˩	t͡suŋ˩˧	t͡sũŋ˧˩	t͡soŋ˥˧	t͡soŋ˥˥	t͡soŋ˧˧	t͡ɕoŋ˧˧	t͡sʌ̃˧˩	t͡san˩˩	ʈ͡ʂoŋ˧˧	ʈ͡ʂən˧˧	t͡suŋ˦˨	tuŋ˦˦～心|t͡suŋ˦˦～間	tuŋ˨˦	t͡soŋ˥˧	t͡suŋ˥˥	t͡suŋ˥˥	tiɔŋ˥˥	tyŋ˦˦	tœyŋ˥˦|tœyŋ˧˧～奬	toŋ˧˧|taŋ˧˧	toŋ˨˧
丸	ɣwan¹	uan˧˥	uan˨˦	van˦˥	vã˦˨	vã˦˨	uan˦˨	uã˨˦	uã˨˦	van˥˧	vɛ̃n˥˧	van˥˩	uan˨˩˧藥～子|yɛn˨˩˧肉～子	uan˧˩	uan˨˩	uã̠˧˩	uaŋ˨˦	ʊ̃˥˥	væ̃˩˩	uɑŋ˩˧	væ̃˧˩	ɦuø˩˧	ɦuø˩˧	ɦuõ˨˩˧	jy˧˩	uɛ˦˦	uːən˦˦	yẽ˩˧	yẽ˩˨	yɵn˦˥	ian˩˩	ʒen˩˩	jyn˧˥	yn˨˩	jyn˧˥	uan˧˥	uoŋ˥˧	yiŋ˧˧	ĩ˥˥	zuaŋ˧˩
義	ŋje³	i˥˩	i˥˧	i˥˧	i˨˩	i˦˨	i˧˩˨	i˦˦	ji˨˩˧	i˩˧	i˩˧	i˨˩˧	i˧˥	ȵi˩˧	ni˨˩˧老|i˨˩˧新	i˨˩˨	i˦˦	zz̩˥˧	i˦˥	ȵi˧˥	i˥˥	ȵi˩˧	ɦi˧˩	ȵi˩˧	ȵi˨˨	ni˨˨	ȵi˩˩	ȵi˥˥	ȵi˥˥	ȵi˨˩	ŋi˥˧	ŋi˥˥	ji˨˨	ji˨˨	ji˨˨	gi˨˨	ŋiɛ˨˦˨	ŋi˦˦	ŋĩ˧˥	ŋi˧˥|ŋi˧˧
